Zipcode,Median age,Sex ratio (males per 100 females)
6390,52.5,123
10001,35.6,101
10002,40.8,92.6
10003,32.1,90.9
10004,33.1,90.1
10005,29.4,92.4
10006,31.4,80.8
10007,35.4,134.5
10009,37,83.4
10010,34.6,99.1
10011,39.5,102.6
10012,34.2,108.1
10013,36.9,98.8
10014,37,105.3
10016,33.4,85.4
10017,37.4,85.7
10018,30.7,110.9
10019,39.2,97.8
10020,-,-
10021,39.5,82.9
10022,45.5,78.8
10023,42.1,87
10024,42.5,86.8
10025,40.3,76.7
10026,34.2,86.9
10027,30.2,86.5
10028,39.6,77.7
10029,33.3,84.8
10030,34.1,88.7
10031,33.8,93.7
10032,34.2,97
10033,35.8,105.9
10034,35.5,93.4
10035,35.2,98.2
10036,37,134.1
10037,36.1,80.3
10038,33.6,87.6
10039,32.4,83.6
10040,37.8,86.6
10044,40.9,90.8
10065,38.7,78.4
10069,34.6,90.8
10075,44.1,71.1
10103,-,-
10110,-,-
10111,-,-
10112,-,-
10115,-,-
10119,-,-
10128,39.1,76.2
10152,-,-
10153,-,-
10154,-,-
10162,44.4,117.7
10165,-,-
10167,-,-
10168,-,-
10169,-,-
10170,-,-
10171,-,-
10172,-,-
10173,-,-
10174,-,-
10177,-,-
10199,-,-
10271,-,-
10278,-,-
10279,-,-
10280,37.2,93.3
10282,33,111
10301,35.8,99.9
10302,32.9,100.4
10303,32.9,90
10304,35.6,87.5
10305,39.5,92.8
10306,41.9,92.2
10307,38.6,88.6
10308,43.3,95.8
10309,39.1,102.2
10310,34.7,96.6
10311,-,-
10312,41.5,94
10314,41.6,92
10451,32,79.4
10452,30.5,87.2
10453,30.9,84.7
10454,28.1,92.1
10455,30.6,93.8
10456,29.8,84.5
10457,29.6,86.5
10458,29.1,93.2
10459,29.1,88.8
10460,30.7,84.8
10461,37.2,94.2
10462,35.3,87.4
10463,37.9,91.2
10464,47.4,78.2
10465,40,92.8
10466,35.8,83.4
10467,33.4,92.5
10468,32.2,91.1
10469,38.1,82.5
10470,38.1,95.8
10471,43,86.5
10472,31.2,95.7
10473,36.5,80.8
10474,30.3,105.7
10475,46.1,81.7
10501,47.6,93.4
10502,45.5,93.6
10503,60.4,57
10504,41.7,95.2
10505,36.9,71.2
10506,43.5,86.6
10507,36.1,76.8
