Zipcode,Population Total,Bachelor population,Master population,Professional school degree population,Doctorate degree population
ZCTA5 00601,11881,1720,248,59,65
ZCTA5 00602,27575,4203,1242,206,258
ZCTA5 00603,35946,5981,1710,283,280
ZCTA5 00606,4249,385,21,17,32
ZCTA5 00610,19249,2266,453,38,144
ZCTA5 00612,43734,8055,1809,411,537
ZCTA5 00616,7736,890,148,12,16
ZCTA5 00617,16510,2170,403,0,51
ZCTA5 00622,5095,743,151,0,105
ZCTA5 00623,29815,5895,1035,141,499
ZCTA5 00624,15755,2297,280,71,105
ZCTA5 00627,22942,3632,844,89,131
ZCTA5 00631,1221,136,12,0,0
ZCTA5 00637,16467,2755,406,62,90
ZCTA5 00638,11994,1361,139,23,17
ZCTA5 00641,19946,3028,412,66,123
ZCTA5 00646,25379,5365,1554,473,164
ZCTA5 00647,4132,512,107,34,11
ZCTA5 00650,9560,908,22,14,33
ZCTA5 00652,2637,451,100,0,0
ZCTA5 00653,8163,941,216,47,52
ZCTA5 00656,13601,2129,280,64,97
ZCTA5 00659,28384,4760,1336,95,271
ZCTA5 00660,12109,2069,493,61,94
ZCTA5 00662,29179,4415,1136,87,123
ZCTA5 00664,10169,1200,329,0,58
ZCTA5 00667,17323,1846,541,52,178
ZCTA5 00669,18753,2714,612,54,46
ZCTA5 00670,6244,810,154,0,18
ZCTA5 00674,28356,5137,904,117,178
ZCTA5 00676,25785,3765,844,204,109
ZCTA5 00677,10608,1681,377,0,133
ZCTA5 00678,18064,2741,511,38,134
ZCTA5 00680,34616,4654,1125,221,571
ZCTA5 00682,20509,3490,1084,201,526
ZCTA5 00683,22269,3713,960,138,282
ZCTA5 00685,28051,4246,608,172,52
ZCTA5 00687,20617,2604,612,18,127
ZCTA5 00688,9181,1077,230,65,0
ZCTA5 00690,3699,984,278,21,51
ZCTA5 00692,23998,3260,1052,154,118
ZCTA5 00693,39533,6023,1500,138,125
ZCTA5 00694,77,0,0,0,0
ZCTA5 00698,27066,4152,777,214,168
ZCTA5 00703,18918,2015,364,88,35
ZCTA5 00704,5073,734,285,12,32
ZCTA5 00705,16678,2770,623,53,25
ZCTA5 00707,7965,1074,245,0,2
ZCTA5 00714,12414,1619,400,39,20
ZCTA5 00715,2466,177,8,7,39
ZCTA5 00716,21172,4562,1236,420,450
ZCTA5 00717,10972,1929,641,194,187
ZCTA5 00718,17165,2897,439,45,45
ZCTA5 00719,20173,2663,424,84,9
ZCTA5 00720,14506,1860,385,9,17
ZCTA5 00723,12532,1381,351,13,70
ZCTA5 00725,58354,11100,3129,494,552
ZCTA5 00727,38279,8770,2983,464,783
ZCTA5 00728,26945,4872,927,213,177
ZCTA5 00729,34701,5257,1276,98,228
ZCTA5 00730,23257,3591,920,326,360
ZCTA5 00731,9970,1638,203,13,56
ZCTA5 00735,8908,1061,534,51,17
ZCTA5 00736,34298,5460,1795,279,210
ZCTA5 00738,22191,3844,718,105,131
ZCTA5 00739,25230,4257,1105,205,148
ZCTA5 00740,895,51,36,10,0
ZCTA5 00741,3984,326,68,10,0
ZCTA5 00745,36059,5252,1398,166,220
ZCTA5 00751,14830,1743,539,14,80
ZCTA5 00754,26865,3697,1065,168,12
ZCTA5 00757,14540,2518,814,107,77
ZCTA5 00765,6127,695,251,13,116
ZCTA5 00766,15805,2163,336,138,26
ZCTA5 00767,24443,2851,736,56,42
ZCTA5 00769,26409,4099,1181,22,259
ZCTA5 00771,25765,3428,862,212,169
ZCTA5 00772,13935,1269,279,37,14
ZCTA5 00773,13005,1893,450,21,54
ZCTA5 00775,1143,87,4,11,13
ZCTA5 00777,26511,4623,1169,70,138
ZCTA5 00778,30999,7077,2248,414,511
ZCTA5 00780,8589,1968,338,247,369
ZCTA5 00782,12228,1184,365,6,19
ZCTA5 00783,23016,2716,563,46,90
ZCTA5 00784,27962,4304,841,96,87
ZCTA5 00786,258,0,0,0,0
ZCTA5 00791,34409,5677,1826,219,414
ZCTA5 00794,18877,2914,596,29,22
ZCTA5 00795,30063,4940,821,459,189
ZCTA5 00901,4813,1093,336,287,86
ZCTA5 00906,57,16,0,34,0
ZCTA5 00907,13519,3478,1544,1031,420
ZCTA5 00909,3819,638,341,69,65
ZCTA5 00911,5823,1696,616,350,234
ZCTA5 00912,4197,894,248,157,57
ZCTA5 00913,4423,467,246,122,13
ZCTA5 00915,19727,1623,337,84,61
ZCTA5 00917,13893,1975,621,301,51
ZCTA5 00918,11816,2853,1382,813,595
ZCTA5 00920,13052,2820,627,339,86
ZCTA5 00921,25572,4884,1282,527,160
ZCTA5 00923,17996,2487,781,207,152
ZCTA5 00924,35131,6124,1835,623,382
ZCTA5 00925,4177,738,271,28,59
ZCTA5 00926,73623,19003,7212,4073,1809
ZCTA5 00927,10786,3428,1314,977,365
ZCTA5 00934,47,0,27,20,0
ZCTA5 00936,711,54,0,0,0
ZCTA5 00949,52914,9969,2152,408,237
ZCTA5 00950,0,0,0,0,0
ZCTA5 00951,15,0,0,0,0
ZCTA5 00952,6303,680,145,17,0
ZCTA5 00953,47136,10915,2644,509,395
ZCTA5 00956,50649,9325,1824,348,208
ZCTA5 00957,28792,5418,1287,242,181
ZCTA5 00959,33640,8085,2335,681,278
ZCTA5 00960,1767,31,0,0,3
ZCTA5 00961,22687,5598,1732,410,248
ZCTA5 00962,13381,1643,282,205,41
ZCTA5 00965,5799,439,81,0,17
ZCTA5 00966,11628,4225,1472,1345,377
ZCTA5 00968,3039,1163,414,330,172
ZCTA5 00969,30792,10618,4100,2748,864
ZCTA5 00971,20440,3450,941,346,76
ZCTA5 00976,41312,10610,2500,695,724
ZCTA5 00979,12273,3633,1347,500,369
ZCTA5 00982,10545,1901,554,74,59
ZCTA5 00983,26502,5060,1340,294,260
ZCTA5 00985,23342,3753,1100,103,95
ZCTA5 00987,40144,9554,2549,517,433
ZCTA5 01001,12865,2218,1172,115,100
ZCTA5 01002,13296,3230,3253,551,2003
ZCTA5 01003,188,23,21,1,1
ZCTA5 01005,3453,483,209,37,98
ZCTA5 01007,9891,2254,1359,213,326
ZCTA5 01008,897,149,93,3,5
ZCTA5 01009,340,47,11,0,0
ZCTA5 01010,2704,685,351,53,36
ZCTA5 01011,1069,124,52,14,0
ZCTA5 01012,390,90,50,4,16
ZCTA5 01013,14916,1543,711,56,79
ZCTA5 01020,22839,2609,1149,122,84
ZCTA5 01022,1868,286,227,0,0
ZCTA5 01026,784,169,104,12,8
ZCTA5 01027,13729,2982,1306,208,96
ZCTA5 01028,11534,2546,1506,625,76
ZCTA5 01029,553,85,24,16,0
ZCTA5 01030,7868,1518,631,91,48
ZCTA5 01031,940,141,44,0,10
ZCTA5 01032,479,93,96,0,18
ZCTA5 01033,4507,806,513,125,94
ZCTA5 01034,1561,315,109,31,15
ZCTA5 01035,4192,1074,595,131,145
ZCTA5 01036,3756,803,489,81,49
ZCTA5 01037,507,90,88,28,0
ZCTA5 01038,2176,482,260,47,51
ZCTA5 01039,963,234,220,48,25
ZCTA5 01040,26329,3842,1726,345,249
ZCTA5 01050,1691,174,113,10,15
ZCTA5 01053,1390,285,154,86,46
ZCTA5 01054,1502,368,312,75,183
ZCTA5 01056,15750,2131,920,134,91
ZCTA5 01057,6360,1071,557,46,87
ZCTA5 01060,9949,2482,1979,643,900
ZCTA5 01062,7789,1934,1514,462,524
ZCTA5 01063,12,0,0,0,0
ZCTA5 01066,10,0,0,10,0
ZCTA5 01068,1252,278,156,15,20
ZCTA5 01069,6471,981,549,28,26
ZCTA5 01070,443,95,63,29,11
ZCTA5 01071,998,213,68,9,8
ZCTA5 01072,1058,249,289,36,91
ZCTA5 01073,4485,764,429,82,62
ZCTA5 01074,171,63,0,0,0
ZCTA5 01075,11817,2411,1596,231,403
ZCTA5 01077,6784,1120,878,145,131
ZCTA5 01079,469,137,0,0,0
ZCTA5 01080,1614,210,32,0,9
ZCTA5 01081,1224,171,34,14,7
ZCTA5 01082,7184,1086,432,21,14
ZCTA5 01083,2075,305,7,0,0
ZCTA5 01084,138,37,40,6,3
ZCTA5 01085,26651,5843,2262,403,220
ZCTA5 01086,16,8,0,0,0
ZCTA5 01088,442,71,77,11,0
ZCTA5 01089,19502,3739,1693,228,119
ZCTA5 01092,931,231,1,0,0
ZCTA5 01093,244,78,51,9,6
ZCTA5 01094,268,36,28,0,0
ZCTA5 01095,10376,2644,1442,327,91
ZCTA5 01096,1834,416,226,30,35
ZCTA5 01097,20,0,0,0,0
ZCTA5 01098,892,180,118,20,17
ZCTA5 01103,1674,139,105,63,33
ZCTA5 01104,14835,1272,432,54,93
ZCTA5 01105,7022,344,144,56,48
ZCTA5 01106,11020,3117,2370,1310,447
ZCTA5 01107,6515,393,182,18,12
ZCTA5 01108,16110,1779,1264,161,110
ZCTA5 01109,15689,1493,561,139,36
ZCTA5 01118,10009,1878,860,95,105
ZCTA5 01119,8453,1083,551,72,27
ZCTA5 01128,1853,325,118,7,43
ZCTA5 01129,5118,672,463,58,24
ZCTA5 01151,5290,515,184,100,10
ZCTA5 01199,0,0,0,0,0
ZCTA5 01201,32928,5158,2618,598,328
ZCTA5 01220,6040,949,301,28,63
ZCTA5 01222,628,157,49,0,0
ZCTA5 01223,1887,322,203,61,43
ZCTA5 01224,102,0,19,0,0
ZCTA5 01225,2327,306,96,0,9
ZCTA5 01226,4998,932,413,78,55
