Zipcode,Mean income
6390,168193
10001,158183
10002,61946
10003,161692
10004,177262
10005,176424
10006,162688
10007,441278
10009,85207
10010,154979
10011,196817
10012,141430
10013,242875
10014,179375
10016,152944
10017,160725
10018,144419
10019,144753
10020,-
10021,218180
10022,234492
10023,188600
10024,202005
10025,124739
10026,79815
10027,70034
10028,203678
10029,60756
10030,53229
10031,56924
10032,52050
10033,64437
10034,59635
10035,47759
10036,115834
10037,50691
10038,122181
10039,52332
10040,59397
10044,116875
10065,205447
10069,231265
10075,205405
10103,-
10110,-
10111,-
10112,-
10115,-
10119,-
10128,172532
10152,-
10153,-
10154,-
10162,216132
10165,-
10167,-
10168,-
10169,-
10170,-
10171,-
10172,-
10173,-
10174,-
10177,-
10199,-
10271,-
10278,-
10279,-
10280,193651
10282,318142
10301,75227
10302,70739
10303,62834
10304,82916
10305,82951
10306,95618
10307,96729
10308,98769
10309,109210
10310,84186
10311,-
10312,102797
10314,93457
10451,40836
10452,36083
10453,33354
10454,31533
10455,32854
10456,35722
10457,36604
10458,41474
10459,35964
10460,35624
10461,68790
10462,57940
10463,80384
10464,90671
10465,85312
10466,56348
10467,46518
10468,44912
10469,70069
10470,70509
10471,105625
10472,41909
10473,51802
10474,36171
10475,59288
10501,168224
10502,195177
10503,141105
10504,329724
10505,162688
10506,302564
10507,139167
10509,117307
10510,219180
10511,112668
10512,113216
10514,312693
10516,120667
10517,111566
10518,193774
10519,191300
10520,138738
10522,156335
10523,106451
10524,159108
10526,179595
10527,164764
10528,163962
10530,135409
10532,120479
10533,238703
10535,75193
10536,226620
10537,99556
10538,241101
10541,119542
10543,146779
10545,-
10546,166804
10547,106680
10548,106955
10549,153894
10550,55606
10552,92459
10553,76480
10560,189728
10562,102513
10566,76305
10567,142084
10570,174055
10573,108718
10576,276246
10577,402826
10578,112044
10579,125600
10580,270400
10583,268778
10588,90726
10589,141478
10590,177402
10591,120586
10594,130302
10595,127967
10596,68625
10597,263442
10598,141238
10601,112517
10603,118545
10604,144359
10605,146944
10606,102720
10607,154160
10701,62123
10703,71365
10704,82446
10705,67600
10706,177937
10707,134174
10708,160997
10709,134250
10710,101745
10801,80484
10803,240089
10804,225824
10805,76844
10901,119279
10910,N
10911,-
10913,149031
10914,147230
10915,N
10916,119872
10917,129050
10918,105937
10919,98073
10920,120333
10921,96896
10922,105215
10923,97805
10924,111640
10925,90828
10926,81483
10927,80163
10928,84974
10930,130746
10931,85484
10932,N
10933,90375
10940,71901
10941,79025
10950,91907
10952,79502
10953,114150
10954,109321
10956,148111
10958,98481
10960,112055
10962,111813
10963,83284
10964,138846
10965,113464
10968,144102
10969,124710
10970,99088
10973,100620
10974,107686
10975,125612
10976,86696
10977,80150
10979,59260
10980,115301
10983,139197
10984,121334
10985,N
10986,148517
10987,123043
10988,86298
10989,116982
10990,118403
10992,100547
10993,80309
10994,144486
10996,114831
10998,100366
11001,119387
11003,101669
11004,99830
11005,91016
11010,106238
11020,202107
11021,137888
11023,151730
11024,158088
11030,252878
11040,125241
11042,-
11050,169934
11096,61307
11101,77677
11102,71031
11103,74020
11104,70828
11105,79957
11106,71621
11109,155054
11201,152775
11203,58403
11204,65150
11205,73353
11206,49425
11207,47113
11208,48043
11209,87004
11210,77666
11211,84221
11212,40177
11213,47669
11214,66803
11215,144180
11216,65962
11217,126829
11218,78208
11219,52503
11220,54640
11221,54815
11222,87421
11223,64964
11224,50455
11225,62860
11226,58646
11228,87560
11229,71111
11230,66632
11231,128453
11232,60019
11233,50071
11234,89848
11235,68373
11236,72543
11237,62004
11238,93918
11239,34840
11351,-
11354,62568
11355,54472
11356,75112
11357,91915
11358,83944
11359,-
11360,97078
11361,93310
11362,99502
11363,121953
11364,88789
11365,79166
11366,93774
11367,73718
11368,55919
11369,67171
11370,75046
11371,-
11372,63963
11373,62616
11374,70852
11375,95909
11377,64842
11378,74249
11379,83602
11385,69571
11411,93447
11412,82631
11413,92538
11414,88917
11415,80334
11416,72849
11417,79020
11418,73486
11419,73064
11420,79434
11421,78211
11422,92702
11423,80672
11424,-
11425,-
11426,90998
11427,83020
11428,75806
11429,82902
11430,-
11432,70442
11433,59055
11434,70071
11435,66645
11436,78107
11451,-
11501,104018
11507,144899
11509,203674
11510,107779
11514,118835
11516,118179
11518,119213
11520,87628
11530,186680
11542,102049
11545,223506
11547,132867
11548,134403
11549,-
11550,72741
11552,117036
11553,88451
11554,110726
11556,-
11557,173871
11558,94824
11559,202563
11560,185719
11561,112980
11563,108933
11565,126793
11566,150799
11568,335450
11569,139466
11570,143135
11572,113474
11575,79235
11576,211523
11577,162838
11579,147726
11580,106077
11581,120373
11590,111891
11596,138279
11598,175167
11691,55708
11692,58512
11693,64300
11694,100077
11697,109500
11701,83672
11702,120947
11703,97439
11704,94879
11705,124413
11706,93303
11709,123671
11710,126629
11713,89542
11714,109517
11715,115783
11716,92804
11717,82589
11718,159211
11719,127591
11720,105517
11721,146749
11722,76960
11724,250678
11725,129815
11726,82613
11727,89402
11729,98880
11730,130470
11731,118137
11732,156496
11733,164421
11735,104188
11738,110357
11739,159114
11740,118116
11741,116012
11742,105948
11743,164163
11746,131392
11747,166583
11749,101948
11751,117386
11752,107963
11753,200134
11754,119594
11755,113728
11756,109731
11757,93603
11758,124850
11762,123281
11763,95896
11764,127017
11765,315142
11766,129221
11767,133087
11768,150756
11769,105568
11770,146056
11771,202010
11772,82362
11776,105650
11777,145072
11778,100827
11779,95679
11780,145996
11782,128903
11783,122222
11784,93273
11786,136323
11787,129847
11788,117103
11789,101588
11790,156905
11791,209146
11792,133224
11793,137839
11794,-
11795,124830
11796,118922
11797,233281
11798,84621
11801,112040
11803,146607
11804,145005
11901,74287
11930,129155
11931,N
11932,126195
11933,85860
11934,111827
11935,107378
11937,136967
11939,90271
11940,115880
11941,106482
11942,113924
11944,82529
11946,94292
11947,56414
11948,129135
11949,112353
11950,78660
11951,74095
11952,103499
11953,80561
11954,93491
11955,81713
11956,89750
11957,95914
11958,152033
11959,126459
11960,104623
11961,76035
11962,247372
11963,142997
11964,132813
11965,136538
11967,88970
11968,136625
11970,122136
11971,120836
11972,126131
11973,-
11975,107635
11976,186467
11977,123793
11978,126990
11980,103092
12007,N
12008,98016
12009,99866
12010,59105
12015,70250
12017,80173
12018,101640
12019,103850
12020,83911
12022,64406
12023,74058
12024,N
12025,70108
12027,102797
12028,100295
12029,97324
12031,52900
12032,63213
12033,101151
12035,57513
12036,41922
12037,80172
12040,48940
12041,72855
12042,56232
12043,63214
12045,44240
12046,84054
12047,63862
