STN---,WBAN,YEARMODA,TEMP,VISIB,MAX,MIN
722098,64761,20120102,40.5,10,41.0*,39.2*
722098,64761,20120103,27.7,10,30.2*,23.0*
722098,64761,20120104,22.3,10,26.6*,17.6*
722098,64761,20120105,37.8,10,39.2*,33.8*
722098,64761,20120106,48.7,10,50.0*,44.6*
722098,64761,20120108,43.2,10,44.6*,41.0*
722098,64761,20120110,42.5,10,44.6*,37.4*
722098,64761,20120111,43.7,10,44.6*,42.8*
722098,64761,20120113,36.8,10,42.8*,33.8*
722098,64761,20120114,33.2,10,33.8*,32.0*
722098,64761,20120115,18.4,10.4,21.2*,15.8*
722098,64761,20120116,24.8,10,33.8*,14.0*
722098,64761,20120117,44.6,7.4,46.4*,42.8*
722098,64761,20120118,39.5,10,41.0*,35.6*
722098,64761,20120119,29.8,8.5,32.0*,26.6*
722098,64761,20120120,30.2,10,9999.9,9999.9
722098,64761,20120122,31,10,33.8*,24.8*
722098,64761,20120128,43.5,10,44.6*,41.0*
722098,64761,20120129,39.8,10,42.8*,37.4*
722098,64761,20120131,47.1,10,48.2*,46.4*
722098,64761,20120203,36,10,41.0*,32.0*
722098,64761,20120205,33.5,10,35.6*,30.2*
722098,64761,20120206,45.9,10,46.4*,44.6*
722098,64761,20120207,45.6,10,48.2*,42.8*
722098,64761,20120208,35,10,35.6*,33.8*
722098,64761,20120209,38.3,10,41.0*,33.8*
722098,64761,20120213,40.1,10,42.8*,37.4*
722098,64761,20120214,41,10,42.8*,37.4*
722098,64761,20120215,45.9,10,48.2*,42.8*
722098,64761,20120217,46.6,8.9,50.0*,42.8*
722098,64761,20120219,38.3,10,39.2*,37.4*
722098,64761,20120220,39.6,10,42.8*,33.8*
722098,64761,20120221,40.5,10,42.8*,37.4*
722098,64761,20120222,50,10,53.6*,46.4*
722098,64761,20120223,53.6,10,57.2*,51.8*
722098,64761,20120224,42.4,7.6,44.6*,37.4*
722098,64761,20120301,40.4,8.2,42.8*,39.2*
722098,64761,20120302,37.4,10,39.2*,33.8*
722098,64761,20120304,41,10,42.8*,39.2*
722098,64761,20120308,54.6,9.7,55.4*,53.6*
722098,64761,20120313,48.4,3.7,50.0*,46.4*
722098,64761,20120316,43.8,7.6,44.6*,42.8*
722098,64761,20120317,51.1,10,53.6*,50.0*
722098,64761,20120318,48,8.5,51.8*,44.6*
722098,64761,20120325,46.4,9.5,48.2*,44.6*
722098,64761,20120327,38.9,10,46.4*,32.0*
722098,64761,20120329,50.5,10,51.8*,50.0*
722098,64761,20120401,46.4,10,48.2*,44.6*
722098,64761,20120402,47.8,10,51.8*,44.6*
722098,64761,20120403,51.8,10,59.0*,44.6*
722098,64761,20120410,54.1,9.1,55.4*,51.8*
722098,64761,20120411,51.5,10,53.6*,46.4*
722098,64761,20120413,53.9,10,55.4*,50.0*
722098,64761,20120416,66.2,9.3,69.8*,60.8*
722098,64761,20120417,73.9,10,77.0*,69.8*
722098,64761,20120422,54.1,5.7,57.2*,51.8*
722098,64761,20120424,49.6,10,51.8*,46.4*
722098,64761,20120428,50.3,10,55.4*,44.6*
722098,64761,20120501,55.4,6.3,57.2*,51.8*
722098,64761,20120502,51.8,10,9999.9,9999.9
722098,64761,20120503,50,2.3,9999.9,9999.9
722098,64761,20120504,55.7,2.9,57.2*,55.4*
722098,64761,20120505,54.1,2.8,55.4*,53.6*
722098,64761,20120507,58.5,10,60.8*,57.2*
722098,64761,20120508,56.7,10,59.0*,55.4*
722098,64761,20120509,58.3,2.6,59.0*,57.2*
722098,64761,20120512,68,10,71.6*,62.6*
722098,64761,20120513,69.3,10,71.6*,66.2*
722098,64761,20120515,59.9,6.3,60.8*,59.0*
