2017	80111	1
2015	37214	1
2009	10801	1
2015	11021	9
2012	33155	1
2016	10111	15
2015	29601	2
2013	94105	1
2012	07202	2
2015	89117	1
2012	11228	5545
2012	11020	2
2012	10532	5
2014	11415	5244
2011	44139	1
2016	10123	16
2013	10604-1205	1
2010	11777	1
2015	10536	1
2013	06830	1
2011	33631	1
2011	11106	6798
2009	73135	1
2010	45242	1
2010	84101	1
2011	32750	2
2017	48071	1
2012	11423	6121
2013	11413	6353
2013	08840	1
2017	10178	7
2015	10522	1
2016	07072	1
2010	95834	1
2012	10023	8350
2014	11386	1
2012	11747-3173	1
2011	48195-0954	1
2009	02360	1
2017	97062	1
2015	02298-1002	2
2012	11439	1
2013	11241	8
2011	11211	19730
2017	10804	1
2011	07071	5
2015	10312	12655
2013	633-0004	1
2010	10467	32367
2011	06830	3
2015	11561-4717	1
2016	11790	1
2013	11725	3
2012	44145	1
2015	10111	28
2010	75261-9610	1
2013	32207	1
2010	UNKNOWN	1
2016	19034	1
2014	07458	1
2010	19020	1
2015	N/A	86
2011	28216	2
2011	78265-9728	2
2017	08876	1
2015	11345	1
2015	44333	1
2015	11214	16687
2011	02061-0601	1
2013	11733	1
2017	10016	4137
2011	84602-0147	1
2013	55344-7710	1
2012	10801	4
2017	11385	7249
2014	11359	16
2010	10007	2704
2012	10471	2887
2016	10003	19965
2010	07054	2
2013	11501	6
2010	85251	1
2010	94569	1
2010	60076-1027	1
2012	33716	1
2010	01840	1
2009	11204	3399
2011	10010	4889
2014	11507	2
2010	10031	22169
2013	32789	1
2010	22035	1
2016	32119	1
2010	30067	1
2011	11010	2
2012	10103	5
2010	07362	1
2013	74354-1904	1
2014	55125	1
2014	55426-1066	1
2012	02116	1
2009	15108	1
2014	10605	2
2011	01830	1
2012	07047	4
2009	30996	1
2014	11804	1
2012	11204	11915
2016	07304	2
2014	07390	1
2012	10119	7
2016	10583	2
2012	10591	1
2015	10003	16503
2012	12787	1
2010	11695	18
2010	11694	4427
2010	21288-0001	1
2011	03016	1
2015	11020	2
2012	1691	1
2011	43218-3071	1
2016	10110	19
2012	01810	1
2015	10014	10452
2011	57117-5529	2
2015	77403	1
2015	10580	1
2010	77081	4
2016	07090	2
2011	1207	1
2012	11229	13269
2012	11021	4
2014	11414	6987
2010	19714-7526	1
2011	73124	1
2012	02886	1
2013	77218-9785	1
2012	352093120	1
2011	30023	1
2013	11024-1019	1
2013	06831	1
2017	11101	3844
2015	43232-0500	1
2014	64108	1
2017	10994	1
2014	11420	10678
2012	43218-2118	1
2010	14240-0846	1
2012	11420	9015
2013	N/A	109
2017	10179	3
2014	29006	1
2016	07073	6
2010	30144	1
2013	100000	2
2014	29616-0759	3
2014	11729	3
2012	10022	7242
2010	1008	1
2011	08807	1
2013	14206	3
2017	10805	3
2011	59403-1013	1
2009	07632-2524	1
2016	55101	2
2010	10466	17576
2014	07940	1
2011	06831	1
2010	07940	1
2016	11791	3
2015	94116	1
2015	9268-0772	1
2009	75063	1
2009	11205	2029
2013	92008	1
2010	80201	1
2010	*	2
2011	38655-0948	1
2015	11102	8183
2013	76161-0247	1
2016	11704	5
2012	33484	1
2016	91711	1
2013	10048	32
2014	10038	4367
2015	11215	17212
2010	07710	3
2009	11428	1048
2010	10566	1
2014	15251	1
2017	10019	4175
2012	77077	2
2016	14450	2
2013	77036	2
2015	10272-0992	1
2015	10462	19271
2012	14068-1602	1
2014	11356	5852
2015	11352	1
2016	10989	1
2011	1106	1
2013	10050	1
2016	10002	19251
2014	02459	2
2010	74134	2
2010	94566	1
2010	97008	1
2014	11802-9060	2
2013	27292	1
2010	02061	17
2012	66017	1
2014	08854	2
2010	10032	21563
2009	31139	1
2011	18706	1
2012	11706	2
2012	13088	1
2013	55439	5
2015	12309	1
2009	79998	1
2012	60630	1
2014	10604	1
2016	14621	1
2014	08520	1
2012	11205	7476
2010	11543	1
2016	07305	6
2010	20874	1
2014	53707	1
2013	92210	1
2010	10108	1
2016	10580	2
2010	10006	908
2009	11556	1
2012	92723	1
2013	11379	6024
2012	10025	14080
2017	11102	1846
2013	92025	1
2015	06470	1
2011	10523-0935	1
2015	55423	1
2011	10606	1
