Column Name,Valid Number,Null Number,Invalid Number,Non empty Missing Data Number"Unique_Key
",14923581,0,0,0"Created_Date
",14923581,0,0,0"Closed_Date
",14390012,527573,"	5996",0"Agency
",14923581,0,0,0"Agency_Name
",14923581,0,0,0"Complaint_Type
",14923580,0,0,"	1""Descriptor
",14781522,818,0,"	141241""Location_Type
",11008319,3830704,0,"	84558""Incident_Zip
",13858758,1062658,"	1241","	924""Incident_Address
",11571207,3331646,"	19826","	902""Street_Name
",11531103,3331755,"	59977","	746""Cross_Street_1
",9846475,4428654,"	643540","	4912""Cross_Street_2
",9817746,4490094,"	606471","	9270""Intersection_Street_1
",2248674,12568053,"	106797","	57""Intersection_Street_2
",0,12571000,0,"	2352581""Address_Type
",14215801,707780,0,0"City
",13865959,1056554,"	208","	860""Landmark
",8090,14915487,0,"	4""Facility_Type
",3559799,18753,0,"	11345029""Status
",14923516,34,0,"	31""Due_Date
",5986480,8929331,"	7770",0"Resolution_Action_Updated_Date
",14608037,315338,"	206",0"Community_Board
",13628276,0,0,"	1295305""Borough
",13628276,0,0,"	1295305""X_Coordinate_State_Plane
",13315337,1608244,0,0"Y_Coordinate_State_Plane
",13315337,1608244,0,0"Park_Facility_Name
",90734,0,0,"	14832847""Park_Borough
",13628276,0,0,"	1295305""School_Name
",90734,0,0,"	14832847""School_Number
",87618,2788,0,"	14833175""School_Region
",13522,77212,0,"	14832847""School_Code
",13525,77209,0,"	14832847""School_Phone_Number
",73514,0,0,"	14850067""School_Address
",90734,0,0,"	14832847""School_City
",90734,0,0,"	14832847""School_State
",90734,0,0,"	14832847""School_Zip
",0,0,0,"	14832848""School_Not_Found
",5922837,9000744,0,0"School_or_Citywide_Complaint
",2354,14921227,0,0"Vehicle_Type
",7579,14916002,0,0"Taxi_Company_Borough
",13087,14910494,0,0"Taxi_Pick_Up_Location
",118491,14805090,0,0"Bridge_Highway_Name
",41678,14881903,0,0"Bridge_Highway_Direction
",41620,14881918,0,"	43""Road_Ramp
",41281,14881942,0,"	358""Bridge_Highway_Segment
",41188,14875493,"	6517","	383""Garage_Lot_Name
",4851,14918730,0,0"Ferry_Direction
",3464,14917874,0,"	2243""Ferry_Terminal_Name
",10122,14852215,0,"	61244""Latitude
",13315334,1608244,"	3",0"Longitude
",13315334,1608244,"	3",0"Location
",13315334,1608244,"	3",0
